Ecodistrict ID,# Records,# Unique Townships,MSE Training,MSE Test,R Squared Training,R Squared Test,Mean Absolute Error (Degrees),Accuracy (%),# Principal Components,Explained Variance (%)
852,286,26,98.24,83.51,78.9,80.25,64.03,93.27,18,95.19
796,176,16,104.4,113.36,61.85,50.06,92.04,84.62,16,95.5
853,77,7,114.27,131.29,75.21,69.14,100.79,85.35,13,95.37
726,363,32,141.95,140.74,70.87,67.62,109.61,77.68,18,95.04
766,374,34,91.78,85.21,81.4,79.65,65.83,92.13,21,95.18
795,495,45,110.01,104.01,72.69,73.74,84.47,84.2,18,95.17
765,594,54,113.8,107.17,81.86,69.03,82,88.58,20,95.28
831,242,22,89,75.02,81.75,83,60.59,90.54,16,95.28
830,682,62,105.55,108.98,71.49,61.48,84.78,85.51,18,95
855,22,2,96.47,64.68,99.02,71.13,47.9,94.23,8,95.85
832,462,42,121.59,130.8,73.26,62.51,105.1,78.25,20,95.14
763,462,42,107.83,105.68,69.62,66.38,81.89,85.68,20,95.61
760,858,78,89.53,102.85,72.91,66.71,84.09,87.79,21,95.43
849,1001,76,105.12,112.36,84.52,81.56,87.81,87.09,25,95.13
794,759,69,94.22,92.99,71.93,72.92,73.17,89.53,15,95.32
764,154,14,185.18,91.83,81.84,58.34,64.39,91.63,19,95.18
854,176,16,79.33,77.75,79.38,76,66.5,92.11,19,95.4
826,1177,107,119.71,125.3,67.34,63.13,96.19,84.11,22,95.19
834,11,1,183.14,129.51,100,35.53,128.98,79.81,7,99.99
762,154,14,83.94,94.71,73.87,67.67,75.87,88.47,14,95.69
833,11,1,231.88,135.13,98.33,-8.31,122.78,76.73,6,95.7
850,341,31,112.05,86.32,72.88,71.27,63.75,91.51,22,95.14
758,374,34,98.74,98.27,70.02,71.14,75.06,88.91,23,95.05
838,220,20,111.95,128.01,72.82,53.1,100.43,83.2,18,95.36
825,880,80,118.56,116.46,64.42,62.98,86.88,87.47,20,95.04
752,1111,101,101.55,106.26,77.68,75.04,85.31,87.8,23,95.46
757,220,20,81.42,84.22,80.54,66.1,68.64,92.31,21,95.38
792,1012,92,112.73,112.54,71.15,69.78,88.05,88.94,19,95.54
761,77,7,108.92,120.71,84.74,63.48,95.69,86.59,15,95.93
375,264,9,128.33,136.72,85.63,82.44,107.41,82.87,16,95.59
837,88,8,175.4,178.25,74.4,12.71,120.73,79.93,17,95.71
702,275,25,102.95,85.38,76.87,78.76,71.17,91.4,17,95.42
701,341,31,120.39,90.42,57.66,66.77,70.24,90.71,13,95.63
851,154,14,112.84,112.42,78.88,66.9,93.75,87.11,16,95.13
755,330,30,90.44,84.5,75.96,75.96,70.12,90.23,19,95.49
759,55,5,76.35,68.33,85.72,88.73,57.4,92.61,9,95.32
753,946,86,74.72,75.15,83.44,79.21,59.86,93.47,23,95.2
751,231,21,131.74,135.03,77.15,58.47,107.86,87.39,20,95.22
816,704,64,121.47,120.51,59.63,51.03,84.29,86.62,21,95.06
756,627,57,94.99,97.59,77.54,72.71,73.29,90.31,15,95.24
724,495,27,114,118.02,81.25,79.11,91.76,84.91,20,95.52
379,11,1,211.48,235.82,100,56.42,212.19,47.98,7,100.01
824,165,15,131.44,149.28,62.55,42.35,129,79.63,15,95.84
822,407,37,115.11,112.8,66.36,65.05,83.7,85.98,14,95.57
827,55,5,185.09,164.88,63.04,63.06,139.2,80.94,11,97.39
821,242,22,128.86,140.4,70.1,53.04,110.31,79.34,14,95.53
847,110,10,110.44,136.75,72.05,35.38,110.95,85.98,14,95.51
846,99,9,152.27,122.33,80.15,57.11,98.63,81.52,19,95.31
848,44,4,172.31,69.28,72.19,77.18,60.72,91.04,12,95.24
841,286,26,122.85,140.75,66.89,60.38,110.98,78.68,19,95.33
844,165,15,142.49,95.62,83.31,74.55,74.99,89.44,19,95.03
723,451,33,152.6,151.26,58.39,55.75,124.08,79.55,24,95.08
820,242,22,133.15,154.47,57.92,26.14,114.93,83.75,14,95.02
754,396,36,95.84,114.7,76.08,67.35,90.62,87.88,12,95.77
716,132,12,114.51,111.31,80.06,74.39,84.57,86.83,21,95.03
819,44,4,156.03,205.77,83.61,56.05,169.24,71.74,12,96.03
709,913,83,102.88,118.1,83.28,78.18,91.69,88.38,25,95.32
817,220,20,128.88,112.98,74.4,71.38,88.14,86.69,15,95.35
808,1067,97,136.18,135.78,56.15,58.96,108.17,84.38,21,95.14
843,121,11,102.3,98.04,81.05,66.27,69.93,87.71,13,95.05
782,891,81,85.17,88.37,69.25,67.29,67.67,90.74,21,95.08
789,286,26,116.68,136.32,67.71,51.24,111.68,84.57,15,95.41
749,737,67,90.48,89.19,84.75,83.1,70.96,90.69,16,95.21
815,99,9,121.28,157.98,71.58,-9.16,120.42,82.03,14,95.45
813,297,27,150.33,148.48,43.44,33.21,108.97,86.57,12,95.86
748,1199,109,91.27,91.94,79.39,78.3,70.54,90.03,20,95.48
783,451,41,82.71,82.49,70.77,67.49,64.09,90.78,16,95.19
677,55,4,138.56,142.56,89.84,62.12,119.94,83.3,12,95.07
811,22,2,118.15,278.06,99.1,-45.3,266.85,66.59,8,95.64
770,594,54,111.9,121.04,60.34,44.06,95.44,88.45,19,95.38
807,209,19,111.67,138.58,66.49,29.33,106.15,85.83,11,95.09
840,176,16,96.02,104.66,88.96,84.87,82.52,84.07,14,95.13
839,264,24,105,129.58,83.35,71.63,97.19,85.42,16,95.27
784,242,22,74.66,84.57,78.22,66.76,65.77,90.9,11,95.13
809,176,16,160.15,141.02,58.84,59.21,108.54,84.38,17,95.4
810,165,15,109.24,119.64,72.67,45.63,90.32,87.66,13,95.45
780,462,42,125.85,126.68,57.24,46.3,101.74,86.84,15,95.15
715,209,19,126.5,144.62,84.17,70.84,106.31,82.44,20,95.51
805,165,15,115.96,161.7,72.46,28.18,123.37,67.34,16,95.58
747,209,19,114.29,98.22,82.47,78.92,78,89.5,15,95.86
785,154,14,82.59,76.97,79.33,80.49,63.4,91.31,11,95.87
773,561,51,86.76,82.7,69.64,67.88,67.93,90.61,17,95.68
803,308,28,115.63,98.16,61.41,70.72,79.5,88.5,14,95.06
718,33,3,228.74,107.57,90.13,77.2,95.98,85.29,9,95.42
717,352,32,125.04,183.72,83.64,67,115.34,81.99,20,95.2
776,209,19,107.21,107.82,65.22,55.9,88.43,87.65,14,95.29
771,165,15,104.55,158.45,68.55,40.33,114.06,77.46,14,95.09
745,1100,100,93.01,91.7,84.18,84.7,71.75,91.04,20,95.44
720,22,2,269.95,182.09,79.04,11.91,125.97,80.37,8,96.14
707,528,48,93.96,94.35,84.01,83.65,74.83,88.83,21,95.23
775,143,13,90.38,87.54,75.12,67.32,72.97,90.05,14,95.78
778,66,6,117.58,87.74,65.45,76.29,72.65,90.63,12,95.92
767,770,70,92.21,101.13,73.2,63.47,78.9,90.42,17,95.27
774,154,14,62.22,79.2,85.36,69.06,65.05,91.02,11,95.02
714,264,24,129.98,117.21,76.5,76.77,86.19,86.51,23,95.21
772,88,8,121.16,126.54,79.17,47.43,96.48,85.07,10,96.26
743,55,5,109.44,92.87,76.5,66.88,63.97,93.12,12,95.54
741,286,26,77.66,70.85,84.02,84.1,59.19,93.08,20,95.17
736,473,43,98.06,94.21,77.16,71,72.16,92.44,17,95.73
742,77,7,98.1,99.07,83.14,39.59,80.87,88.17,15,95.59
735,275,25,97.5,85,69.86,58.21,65.06,92.4,12,95.4
729,946,86,104.09,98.59,67.51,50.92,78.11,91.63,24,95.25
768,66,6,66.72,62.31,90.61,85.34,48.8,93.47,16,95.09
706,297,27,75.85,79.85,87.59,84.22,60.77,91.52,16,95.5
739,121,11,114.43,94.65,73.13,70.03,74.6,90.19,14,95.18
704,220,20,119.22,119.11,75.33,69.03,97.92,86.93,11,95.32
733,429,39,109.6,115.35,54.89,46.08,92.2,88.29,19,95.38
734,154,14,106.77,87.23,66.71,68.1,68.15,92.71,15,95.04
700,165,15,94.84,99.38,84.54,70.46,81.96,91.07,16,95.15
705,341,31,84.48,84.1,86.41,86.19,65.98,90.81,12,95.1
672,66,6,136.99,112.67,74.29,64.96,86.52,87.58,11,95.57
690,198,18,150.22,126.52,56.59,27.19,100.22,88.23,12,95.75
696,429,39,136.78,141.15,60.3,44.73,114.89,84.52,16,95.13
695,176,16,87.35,86.67,76.14,58.52,65.89,92.92,21,95.19
697,187,17,120.49,120.69,80.03,67.63,86.52,89.02,14,95.78
699,66,6,163.95,160.69,70.94,26.89,137.13,78.88,11,96.51
687,374,34,129.47,134.12,55.35,60.49,97.63,86.39,24,95.47
698,176,16,99.09,127.22,76.25,53.05,98.15,84.56,18,95.02
694,242,22,105.67,136.83,78.65,60.69,101.1,84.43,12,96.67
689,264,24,114.98,126.11,76.96,56.43,97.19,87.43,25,95.38
660,44,4,379.95,177.6,59.79,45.45,140.68,84.3,11,96.74
711,253,23,153.73,145.66,65.96,61.58,111.7,84.67,22,95.49
693,253,23,126.73,130.26,78.3,70.59,107.08,86.74,18,95.68
691,55,5,138.29,180.29,74.58,54.27,154.14,71.53,11,95.46
661,119,11,171.65,127.49,64.73,45.03,108.88,84.29,18,95.24
710,176,16,105.8,118.87,77.76,66.52,99.21,88.41,14,95.02
669,99,9,325.76,144.47,42.26,45.67,117.27,75.48,11,96.24
662,11,1,239.72,375.3,100,-377.6,354.08,57.21,7,100
659,11,1,208.76,372.48,98.75,-89.3,371.79,51.23,6,95.48
686,22,2,1140.09,138.08,80.51,-116.04,96.7,91.03,12,95.77
682,110,10,147.85,216.2,69.5,-15.56,163.9,81.54,13,95.04
668,11,1,837.22,655.05,100,-1186.92,641.78,18.79,7,100
657,55,5,171.6,153.93,86.23,79.08,104.33,82.33,17,95.26
685,165,15,127.83,110.71,79.36,75.71,83.09,89.17,16,95.17
680,220,20,140.23,137.95,74.08,50.38,111.79,86.59,20,95.07
647,11,1,287.2,324.83,100,-3865.3,323.61,68.5,7,100.01
652,33,3,668.22,215.19,89.37,-2.27,174.97,77.65,14,95.46
